trial,time,cursor_x_pix,cursor_y_pix,gaze_x,gaze_y,cursor_x_cm,cursor_y_cm,target_x,target_y,state_marker
6,60.56919479370117,14.0,-376.0,0.18046874999999998,-8.799444444444445,-58.0999755859375,-354.199951171875,160.0494074581594,218.2596191783515,0
6,60.57620286941528,11.0,-376.0,0.141796875,-8.799444444444445,-57.0999755859375,-356.0999755859375,160.0494074581594,218.2596191783515,0
6,60.583303689956665,9.0,-376.0,0.116015625,-8.799444444444445,-57.9000244140625,-356.800048828125,160.0494074581594,218.2596191783515,0
6,60.59020185470581,7.0,-376.0,0.09023437499999999,-8.799444444444445,-59.5,-358.0,160.0494074581594,218.2596191783515,0
6,60.59718322753906,5.0,-376.0,0.064453125,-8.799444444444445,-58.5999755859375,-355.0,160.0494074581594,218.2596191783515,0
6,60.60429644584656,5.0,-376.0,0.064453125,-8.799444444444445,-56.800048828125,-357.5,160.0494074581594,218.2596191783515,0
6,60.61129379272461,4.0,-376.0,0.0515625,-8.799444444444445,-58.0999755859375,-356.300048828125,160.0494074581594,218.2596191783515,0
6,60.618322134017944,3.0,-376.0,0.038671874999999994,-8.799444444444445,-58.9000244140625,-359.5999755859375,160.0494074581594,218.2596191783515,0
6,60.624857902526855,3.0,-376.0,0.038671874999999994,-8.799444444444445,-59.5999755859375,-356.800048828125,160.0494074581594,218.2596191783515,0
6,60.631728410720825,3.0,-376.0,0.038671874999999994,-8.799444444444445,-55.800048828125,-357.5,160.0494074581594,218.2596191783515,0
6,60.63863825798035,3.0,-376.0,0.038671874999999994,-8.799444444444445,-58.0999755859375,-355.0,160.0494074581594,218.2596191783515,0
6,60.645650148391724,3.0,-376.0,0.038671874999999994,-8.799444444444445,-58.199951171875,-354.800048828125,160.0494074581594,218.2596191783515,0
6,60.652583599090576,3.0,-376.0,0.038671874999999994,-8.799444444444445,-59.300048828125,-356.300048828125,160.0494074581594,218.2596191783515,0
6,60.65950632095337,3.0,-376.0,0.038671874999999994,-8.799444444444445,-59.199951171875,-355.9000244140625,160.0494074581594,218.2596191783515,0
6,60.66644644737244,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.9000244140625,-355.699951171875,160.0494074581594,218.2596191783515,0
6,60.673407793045044,3.0,-376.0,0.038671874999999994,-8.799444444444445,-63.5,-355.5999755859375,160.0494074581594,218.2596191783515,0
6,60.68035006523132,3.0,-376.0,0.038671874999999994,-8.799444444444445,-62.0,-354.699951171875,160.0494074581594,218.2596191783515,0
6,60.687294483184814,3.0,-376.0,0.038671874999999994,-8.799444444444445,-64.5,-358.9000244140625,160.0494074581594,218.2596191783515,0
6,60.69424366950989,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.800048828125,-357.0999755859375,160.0494074581594,218.2596191783515,0
6,60.70118999481201,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.9000244140625,-354.9000244140625,160.0494074581594,218.2596191783515,0
6,60.70813202857971,3.0,-376.0,0.038671874999999994,-8.799444444444445,-62.300048828125,-355.5999755859375,160.0494074581594,218.2596191783515,0
6,60.715330600738525,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.5,-354.9000244140625,160.0494074581594,218.2596191783515,0
6,60.72231078147888,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.5999755859375,-353.5,160.0494074581594,218.2596191783515,0
6,60.72901129722595,3.0,-376.0,0.038671874999999994,-8.799444444444445,-63.300048828125,-354.800048828125,160.0494074581594,218.2596191783515,0
6,60.735923767089844,3.0,-376.0,0.038671874999999994,-8.799444444444445,-60.0,-354.800048828125,160.0494074581594,218.2596191783515,0
6,60.742838621139526,3.0,-376.0,0.038671874999999994,-8.799444444444445,-61.4000244140625,-355.9000244140625,160.0494074581594,218.2596191783515,0
6,60.749326944351196,2.0,-375.0,0.02578125,-8.776041666666668,-61.199951171875,-353.800048828125,160.0494074581594,218.2596191783515,0
6,60.75631880760193,2.0,-373.0,0.02578125,-8.729236111111112,-58.4000244140625,-354.0999755859375,160.0494074581594,218.2596191783515,0
6,60.763197898864746,2.0,-371.0,0.02578125,-8.682430555555555,-60.4000244140625,-354.699951171875,160.0494074581594,218.2596191783515,0
6,60.77029275894165,2.0,-369.0,0.02578125,-8.635625000000001,-59.4000244140625,-354.5999755859375,160.0494074581594,218.2596191783515,0
6,60.777305364608765,1.0,-367.0,0.012890625,-8.588819444444445,-58.800048828125,-352.699951171875,160.0494074581594,218.2596191783515,1
6,60.784340620040894,1.0,-366.0,0.012890625,-8.565416666666668,-58.300048828125,-352.800048828125,160.0494074581594,218.2596191783515,1
6,60.79141712188721,0.0,-365.0,0.0,-8.542013888888889,-59.800048828125,-353.800048828125,160.0494074581594,218.2596191783515,1
6,60.7984082698822,0.0,-363.0,0.0,-8.495208333333334,-57.0,-355.699951171875,160.0494074581594,218.2596191783515,1
6,60.80533170700073,0.0,-362.0,0.0,-8.471805555555557,-59.199951171875,-355.5999755859375,160.0494074581594,218.2596191783515,1
6,60.81232285499573,0.0,-361.0,0.0,-8.448402777777778,-60.300048828125,-354.800048828125,160.0494074581594,218.2596191783515,1
6,60.81930184364319,0.0,-360.0,0.0,-8.425,-59.0999755859375,-354.800048828125,160.0494074581594,218.2596191783515,1
6,60.82627892494202,-1.0,-360.0,-0.012890625,-8.425,-57.0999755859375,-357.199951171875,160.0494074581594,218.2596191783515,1
6,60.833197355270386,-1.0,-359.0,-0.012890625,-8.401597222222223,-58.5999755859375,-356.9000244140625,160.0494074581594,218.2596191783515,1
6,60.84003806114197,-1.0,-359.0,-0.012890625,-8.401597222222223,-56.699951171875,-354.300048828125,160.0494074581594,218.2596191783515,1
6,60.847018003463745,-1.0,-359.0,-0.012890625,-8.401597222222223,-59.5,-356.5,160.0494074581594,218.2596191783515,1
6,60.85395169258118,-1.0,-359.0,-0.012890625,-8.401597222222223,-59.5999755859375,-356.0999755859375,160.0494074581594,218.2596191783515,1
6,60.86091160774231,-1.0,-359.0,-0.012890625,-8.401597222222223,-58.300048828125,-357.4000244140625,160.0494074581594,218.2596191783515,1
6,60.86785173416138,-1.0,-359.0,-0.012890625,-8.401597222222223,-55.699951171875,-353.5999755859375,160.0494074581594,218.2596191783515,1
6,60.87479019165039,-1.0,-359.0,-0.012890625,-8.401597222222223,-56.0,-353.800048828125,160.0494074581594,218.2596191783515,1
6,60.88174057006836,-1.0,-359.0,-0.012890625,-8.401597222222223,-56.800048828125,-354.5999755859375,160.0494074581594,218.2596191783515,1
6,60.888813495635986,-1.0,-359.0,-0.012890625,-8.401597222222223,-55.699951171875,-354.5999755859375,160.0494074581594,218.2596191783515,1
6,60.89563298225403,-1.0,-359.0,-0.012890625,-8.401597222222223,-56.699951171875,-352.5999755859375,160.0494074581594,218.2596191783515,1
6,60.90257906913757,-1.0,-359.0,-0.012890625,-8.401597222222223,-55.800048828125,-351.9000244140625,160.0494074581594,218.2596191783515,1
6,60.90953230857849,-1.0,-359.0,-0.012890625,-8.401597222222223,-53.9000244140625,-351.4000244140625,160.0494074581594,218.2596191783515,1
6,60.9164502620697,-1.0,-359.0,-0.012890625,-8.401597222222223,-52.5999755859375,-353.5,160.0494074581594,218.2596191783515,1
6,60.923412799835205,-1.0,-359.0,-0.012890625,-8.401597222222223,-54.699951171875,-354.0999755859375,160.0494074581594,218.2596191783515,1
6,60.93040943145752,-1.0,-359.0,-0.012890625,-8.401597222222223,-53.4000244140625,-352.300048828125,160.0494074581594,218.2596191783515,1
6,60.937366247177124,-1.0,-359.0,-0.012890625,-8.401597222222223,-51.800048828125,-354.0999755859375,160.0494074581594,218.2596191783515,1
